#,Dato,Fila,Columna,Fuente,Latencia (ns), Ancho de Banda (Gbps)
  1,78653,0,2,13,220,0.182
  2,7ab78,3,5,4,270,0.148
  3,61958,0,4,2,210,0.190
  4,6665d,2,5,5,220,0.182
  5,25d5f,5,2,14,300,0.133
  6,75a62,4,5,11, 80,0.500
  7,65780,0,4,15,400,0.100
  8,09a5f,5,4,10,220,0.182
  9,21441,1,5,10,440,0.091
 10,4517d,5,3,6,505,0.079
 11,08e13,0,1,10,390,0.103
 12,0c731,4,0,9,340,0.118
 13,59533,5,4,7,470,0.085
 14,26972,0,3,9,520,0.077
 15,731e5,5,3,9,585,0.068
 16,560a7,0,1,2,635,0.063
 17,1c8b9,5,4,15,140,0.286
 18,4b18d,5,3,11,170,0.235
 19,2b2ab,3,5,15,430,0.093
 20,06382,3,0,3,630,0.063
 21,45251,5,1,1,610,0.066
 22,7627b,0,3,1,330,0.121
 23,2e6b2,2,0,1,735,0.054
 24,17951,5,3,14,210,0.190
 25,7048b,0,3,15,640,0.062
 26,5bbe7,1,0,13,795,0.050
 27,20c1c,2,5,14,480,0.083
 28,5c56c,5,3,13,620,0.065
 29,3df3c,2,0,7,400,0.100
 30,1d5f0,4,5,7,580,0.069
 31,2b062,2,5,0,500,0.080
 32,1a665,0,3,1,845,0.047
 33,41c1f,1,5,6,790,0.051
 34,77fad,0,4,2,150,0.267
 35,6d3a0,2,0,9,430,0.093
 36,0cfea,5,4,8,620,0.065
 37,5800d,0,4,14,300,0.133
 38,7fbc9,0,2,10,1035,0.039
 39,11591,5,1,13,1045,0.038
 40,47e4c,5,3,9,1045,0.038
 41,2a533,1,5,8,850,0.047
 42,4b03e,3,5,15,270,0.148
 43,0acdd,5,1,14,940,0.043
 44,4e50c,5,2,4,480,0.083
 45,72569,2,0,2,560,0.071
 46,103cc,4,5,4,1105,0.036
 47,18a5c,5,3,15,440,0.091
 48,6cffc,0,2,2,1155,0.035
 49,0572b,1,0,6,330,0.121
 50,7048b,0,3,15,1060,0.038
 51,346cd,5,2,7,430,0.093
 52,454c5,2,5,8,830,0.048
 53,36347,5,2,2,670,0.060
 54,51d99,3,0,10,1325,0.030
 55,0816c,5,3,2,1365,0.029
 56,6c265,2,0,9,430,0.093
 57,4e777,5,2,5,980,0.041
 58,391e0,0,3,8,520,0.077
 59,54d2e,3,0,13,1405,0.028
 60,604fd,5,2,4,630,0.063
 61,603d9,1,0,7,500,0.080
 62,73923,0,4,14,1465,0.027
 63,3b9a1,2,0,4,460,0.087
 64,485f7,5,3,1,820,0.049
 65,640a8,2,0,10,1515,0.026
 66,57a34,0,1,15,1070,0.037
 67,5fd54,5,2,8,530,0.075
 68,2b7b9,2,0,6,560,0.071
 69,1b1d3,4,5,5,950,0.042
 70,604fd,5,2,4,790,0.051
 71,5f120,5,1,2,1585,0.025
 72,3373b,0,3,13,1605,0.025
 73,4f6e8,2,0,3,1180,0.034
 74,09da3,1,5,1,300,0.133
 75,4a19f,0,1,14,1645,0.024
 76,606bc,2,0,9,1655,0.024
 77,41371,0,4,13,1685,0.024
 78,1514f,5,2,5,1160,0.034
 79,6bf4b,3,0,9,890,0.045
 80,62117,1,5,9,1725,0.023
 81,4857c,5,2,1,730,0.055
 82,3d6a5,2,0,3,1220,0.033
 83,18a53,5,3,6,310,0.129
 84,3148e,4,5,2,1805,0.022
 85,538db,5,3,14,750,0.053
 86,1d6b7,5,1,11,1250,0.032
 87,1e4bc,5,2,4,1370,0.029
 88,4cc83,5,4,1,960,0.042
 89,7b97a,0,3,7,790,0.051
 90,0697f,5,1,13,1885,0.021
 91,5cf40,0,1,11,1905,0.021
 92,1ebe9,5,3,2,1905,0.021
 93,24621,4,0,3,1650,0.024
 94,00573,0,4,10,1925,0.021
 95,1da8c,3,0,10,1925,0.021
 96,72f4a,2,0,9,580,0.069
 97,68801,2,5,7,1290,0.031
 98,20d34,4,5,13,1965,0.020
 99,289b2,5,2,6,790,0.051
100,1a8a1,3,0,12,1420,0.028
101,01a64,2,5,9,1995,0.020
102,394ed,4,0,10,2025,0.020
103,5c6f8,3,5,15,2065,0.019
104,0428e,1,0,7,710,0.056
105,53af2,4,5,5,1160,0.034
106,68801,2,5,7,1410,0.028
107,6bdcd,0,3,11,910,0.044
108,3682c,2,5,7,890,0.045
109,0e14c,4,0,1,980,0.041
110,0cba3,0,1,10,2145,0.019
111,29ba6,4,5,2,2165,0.018
112,0c60c,5,3,15,2185,0.018
113,568ef,3,0,2,2185,0.018
114,4ee02,0,1,7,2185,0.018
115,3619e,3,5,10,2225,0.018
116,1f166,4,0,13,2225,0.018
117,5c800,0,1,14,2265,0.018
118,1450e,1,5,15,2285,0.018
119,68801,2,5,7,1630,0.025
120,1d433,0,1,10,2305,0.017
121,7ed3e,5,1,2,2325,0.017
122,1cc7f,5,2,15,2335,0.017
123,4f8ae,0,1,10,2385,0.017
124,73505,0,2,10,2425,0.016
125,51a9a,4,0,13,2525,0.016
126,76520,0,1,15,2595,0.015
